id,gender,needs-review,notes
1792:35,Man,,Same author as 1792:34
1792:36,Woman,,
1792:37,Man,,
1792:38,Man,,
1792:39,Man,,
1792:40,Woman,,
1792:41,Man,,
1792:42,Woman,,
1792:43,Woman,,
1792:44,Man,,
1792:45,Woman,,
1792:46,Woman,,
1792:47,Woman,,same author as 1792:46
1792:48,Man,checked,
1792:49,Man,,
1792:50,Woman,,
1792:51,Woman,,
1792:52,Woman,,
1792:53,Woman,,
1792:54,Woman,,same author as 1792:53
1792:55,Man,,
1792:56,Woman,,
1792:57,Man,checked,
1792:58,Man,,
1793:1,Unknown,checked,
1793:2,Unknown,,
1793:3,Unknown,,
1793:4,Unknown,,
1793:5,Unknown,,
1793:6,Unknown,,
1793:7,Woman,,
1793:8,Unknown,,
1793:9,Unknown,,
1793:10,Woman,checked,
1793:11,Unknown,,
1793:12,Unknown,,
1793:13,Unknown,,
1793:14,Unknown,checked,
1793:15,Man,,
1793:16,Man,,
1793:17,Man,checked,
1793:18,Man,checked,
1793:19,Woman,,
1793:20,Man,checked,
1793:21,Woman,,
1793:22,Woman,,
1793:23,Man,,
1793:24,Man,,
1793:25,Man,checked,
1793:26,Man,,
1793:27,Man,,
1793:28,Woman,,
1793:29,Woman,,
1793:30,Man,,
1793:31,Woman,,
1793:32,Woman,,Same author as 1793:31
1793:33,Woman,,Same author as 1793:32
1793:34,Woman,,
1793:35,Woman,,
1793:36,Woman,,
1793:37,Woman,,
1793:38,Woman,,
1793:39,Woman,,
1793:40,Man,checked,
1793:41,Woman,checked,
1793:42,Man,checked,
1793:43,Man,checked,
1793:44,Man,,
1793:45,Woman,,
1794:1,Unknown,,
1794:2,Unknown,,
1794:3,Unknown,,
1794:4,Unknown,,
1794:5,Woman,,
1794:6,Unknown,,
1794:7,Unknown,,
1794:8,Unknown,checked,
1794:9,Unknown,,
1794:10,Unknown,,
1794:11,Unknown,,
1794:12,Unknown,,
1794:13,Woman,,
1794:14,Unknown,,
1794:15,Unknown,,
1794:16,Woman,,
1794:17,Woman,,
1794:18,Woman,,
1794:19,Man,,
1794:20,Man,,
1794:21,Man,checked,
1794:22,Man,checked,
1794:23,Man,,
1794:24,Woman,,
1794:25,Woman,,
1794:26,Woman,,same author as 1794:25
1794:27,Woman,,
1794:28,Man,checked,
1794:29,Man,,
1794:30,Woman,,
1794:31,Woman,,
1794:32,Man,checked,
1794:33,Man,,
1794:34,Man,,
1794:35,Woman,,
1794:36,Woman,,
1794:37,Man,checked,
1794:38,Woman,,
1794:39,Man,,
1794:40,Woman,,
1794:41,Woman,,Same author as 1794:40
1794:42,Woman,,
1794:43,Woman,,
1794:44,Woman,,
1794:45,Woman,,
1794:46,Unknown,,
1794:47,Woman,,
1794:48,Woman,,
1794:49,Man,checked,
1794:50,Woman,,
1794:51,Woman,,
1794:52,Woman,,
1794:53,Woman,,Same author as 1794:52
1794:54,Man,,
1794:55,Woman,,
1794:56,Man,,
1795:1,Unknown,,
1795:2,Unknown,,
1795:3,Woman,,
1795:4,Man,checked,
1795:5,Unknown,,
1795:6,Unknown,,
1795:7,Unknown,,
1795:8,Unknown,,
1795:9,Unknown,,
1795:10,Unknown,,
1795:11,Woman,,
1795:12,Man,checked,
1795:13,Man,checked,
1795:14,Man,,
1795:15,Woman,,
1795:16,Woman,,
1795:17,Man,,
1795:18,Man,,
1795:19,Man,,
1795:20,Woman,,
1795:21,Woman,,
1795:22,Woman,,
1795:23,Man,,
1795:24,Unknown,checked,
1795:25,Woman,,
1795:26,Woman,,
1795:27,Woman,,
1795:28,Man,,
1795:29,Woman,,
1795:30,Woman,,
1795:31,Woman,,
1795:32,Woman,checked,
1795:33,Man,checked,
1795:34,Woman,,
1795:35,Woman,,
1795:36,Man,,
1795:37,Man,,
1795:38,Man,checked,
1795:39,Man,,
1795:40,Woman,,
1795:41,Woman,,
1795:42,Man,,
1795:43,Woman,,
1795:44,Man,,
1795:45,Man,,
1795:46,Man,,
1795:47,Man,,
1795:48,Man,,"Translation - original ""by A. Dalrymple 1794"""
1795:49,Man,,
1795:50,Woman,,
1796:1,Unknown,,
1796:2,Unknown,,
1796:3,Unknown,checked,
1796:4,Unknown,,
1796:5,Woman,,
1796:6,Unknown,,"Like others, description implies author is a certain gender (in this case, female)
"
1796:7,Woman,,
1796:8,Unknown,,
1796:9,Woman,,
1796:10,Unknown,,
1796:11,Woman,,
1796:12,Unknown,,
1796:13,Unknown,checked,
1796:14,Unknown,,"Translated from Dutch
"
1796:15,Unknown,,
1796:16,Unknown,,
1796:17,Unknown,,
1796:18,Unknown,checked,
1796:19,Unknown,,Description implies author is female
1796:20,Man,,
1796:21,Man,,
1796:22,Man,,"Description: ""By the right hon. Lady Harriet Marlow"""
1796:23,Man,,
1796:24,Woman,,
1796:25,Woman,,Same author as 1796:24
1796:26,Woman,,
1796:27,Woman,,
1796:28,Unknown,checked,
1796:29,Man,,
1796:30,Woman,,
1796:31,Woman,,
1796:32,Man,,
1796:33,Woman,,
1796:34,Man,checked,
1796:35,Woman,,
1796:36,Man,,
1796:37,Man,,
1796:38,Man,,
1796:39,Man,checked,
1796:40,Woman,,
1796:41,Unknown,,"Translation by male
"
1796:42,Woman,,
1796:43,Woman,,
1796:44,Man,,
1796:45,Man,,"Same author as 1796:45
"
1796:46,Unknown,checked,
1796:47,Woman,,
1796:48,Woman,,
1796:49,Woman,,
1796:50,Woman,,
1796:51,Woman,,
1796:52,Woman,,
1796:53,Man,,
1796:54,Woman,,
1796:55,Woman,,"Same author as 1796:54
"
1796:56,Man,checked,
1796:57,Woman,,
1796:58,Woman,,
1796:59,Man,,Male translator
1796:60,Woman,,
1796:61,Woman,,
1796:62,Woman,,"Same author as 1796:61
"
1796:63,Man,,
1796:64,Woman,,
1796:65,Woman,,
1796:66,Man,checked,
1796:67,Man,,
1796:68,Man,,
1796:69,Man,checked,
1796:70,Man,checked,"Same author as 1796:69
"
1796:71,Woman,,
1796:72,Woman,,Same author as 1796:72
1796:73,Woman,,
1796:74,Woman,,"Same author as 1796:73
"
1796:75,Woman,,Two female authors (sisters)
1796:76,Woman,,
1796:77,Woman,,Same author as 1796:76
1796:78,Woman,,
1796:79,Man,,
1796:80,Man,checked,
1796:81,Man,checked,Same author as 1796:80
1796:82,Woman,,
1796:83,Man,,
1796:84,Man,,
1796:85,Man,checked,Translator
1796:86,Man,checked,"Translator
"
1796:87,Man,,
1796:88,Man,,
1796:89,Woman,,
1796:90,Man,,
1796:91,Man,,Same author as 1796:90
1797:1,Unknown,,
1797:2,Woman,checked,
1797:3,Woman,,
1797:4,Unknown,,
1797:5,Unknown,,
1797:6,Woman,,
1797:7,Unknown,,
1797:8,Woman,checked,
1797:9,Unknown,,
1797:10,Unknown,,
1797:11,Woman,,
1797:12,Unknown,,
1797:13,Unknown,,
1797:14,Unknown,,
1797:15,Unknown,,
1797:16,Unknown,,
1797:17,Unknown,,
